storyId,generatedText,wrongChoices,weirdHitWords,selfAwareHitWords,cozyHitWords,weirdHits,selfAwareHits,cozyHits,rawScore,clampedScore,label,nbLabel,nbP,nbProbWholesome,nbProbKindaOdd,nbProbTotallyUnhinged,nbTopTokens
story3_crunchy_video_game,"A storm beat furious rain and lightening against my tall windows, but from inside my safe, dry apartment, I paid it no mind. I had just settled my sore limbs into my favourite armchair; an old, overstuffed chair whose cushions had memorized my shape over the years. I sank into it with a sigh, feeling the tension drain from my shoulders. It was the perfect place to spend many hours engrossed in my newest armchair, my prized possession. I rotated it carefully into better lighting instead of doing literally anything productive. Like sitting in it. Feeling peckish, I reached for a plate of video games with a free hand. The crunch was sharp and unsatisfying, more noise than reward, and I quietly resolved to keep snacks and electronics separate in the future.  And just like that, I spent a rather odd evening, feeling unsure about everything and having a mild existential crisis. I'm sure I'll feel better in the morning.",2,,literally anything productive,overstuffed; sank into it; with a sigh,0,1,3,2,2,wholesome,kinda odd,1,0,1,0,anything; sigh; in; armchair; better; cushions; odd; and
story3_crunchy_video_game,"A storm beat furious rain and lightening against my tall windows, but from inside my safe, dry apartment, I paid it no mind. I had just settled my sore limbs into my favourite chocolate chip cookie; a fat, baked disc as big as large beanbag. The chocolate got into the nooks and crannies and would be hard to wash out later, but I refused to let that bother me. It was the perfect place to spend many hours engrossed in my newest armchair, a rare find that to this day fills me with wonder. The fabric and wood was the height of millenial grey, which was clearly the best trend of all time. Feeling peckish, I reached for a plate of video games with a free hand. I bit down on something distinctly clicky and immediately reconsidered, setting the rest of the controller aside.  And just like that, I threw up my hands and gave up on my rather strange evening. As if in agreement, lightening struck at the same time as a particularly loud clap of thunder, and the lights went out. Sigh.",3,nooks and crannies; distinctly clicky,refused to let that bother me; best trend of all time,,2,2,0,12,10,totally unhinged,kinda odd,1,0,1,0,feeling; refused; best; rather; all; something; that; hard
story3_crunchy_video_game,"A storm beat furious rain and lightening against my tall windows, but from inside my safe, dry apartment, I paid it no mind. I had just settled my sore limbs into my favourite video game; a handheld rhythm game balanced awkwardly on my knee. Every flash of lightning threw off my timing, and the game punished me mercilessly for it. It was the perfect place to spend many hours engrossed in my newest armchair, my pride and joy. It may have cost me a whole month's salary but money didn't matter when an armchair looked this good. Feeling peckish, I reached for a plate of armchairs with a free hand. The miniature furniture pieces had no taste, but plenty of wood fiber as I tried my best to munch through them. I guess they could be counted as a healthy snack?  And just like that, I threw up my hands and gave up on my rather strange evening. As if in agreement, lightening struck at the same time as a particularly loud clap of thunder, and the lights went out. Sigh.",3,mercilessly; wood fiber,cost me a whole month's salary,,2,1,0,11,10,totally unhinged,kinda odd,1,0,1,0,feeling; best; rather; had; them; when; my; gave
story3_crunchy_video_game,"A storm beat furious rain and lightening against my tall windows, but from inside my safe, dry apartment, I paid it no mind. I had just settled my sore limbs into my favourite video game; a strategy game paused mid-battle while I debated whether the thunder counted as an immersive sound effect or a personal warning. I shrugged, unpaused, and promptly died. It was the perfect place to spend many hours engrossed in my newest chocolate chip cookie, which sparkled invitingly under the warm light of my lamp. I hardly dared to take a bite out of such a perfect thing. Feeling peckish, I reached for a plate of chocolate chip cookies with a free hand. I closed my eyes as the soft cookie gave way, the chocolate warming instantly and making the storm outside feel very far away.  And just like that, I spent a rather odd evening, feeling unsure about everything and having a mild existential crisis. I'm sure I'll feel better in the morning.",2,,debated whether; personal warning; i shrugged; promptly died,,0,4,0,8,8,totally unhinged,kinda odd,1,0,1,0,chocolate; soft; storm; game; perfect; chip; cookie; odd
story3_crunchy_video_game,"A storm beat furious rain and lightening against my tall windows, but from inside my safe, dry apartment, I paid it no mind. I had just settled my sore limbs into my favourite video game; a strategy game paused mid-battle while I debated whether the thunder counted as an immersive sound effect or a personal warning. I shrugged, unpaused, and promptly died. It was the perfect place to spend many hours engrossed in my newest video game, a cozy city-building game where nothing bad ever happens. I lost track of time rearranging digital park benches while the storm raged on unnoticed. Feeling peckish, I reached for a plate of armchairs with a free hand. The miniature furniture pieces had no taste, but plenty of wood fiber as I tried my best to munch through them. I guess they could be counted as a healthy snack?  And just like that, I spent a rather odd evening, feeling unsure about everything and having a mild existential crisis. I'm sure I'll feel better in the morning.",2,wood fiber,debated whether; personal warning; i shrugged; promptly died,nothing bad ever happens,1,4,1,9,9,totally unhinged,kinda odd,1,0,1,0,feeling; best; rather; had; them; paused; about; game
story3_crunchy_video_game,"A storm beat furious rain and lightening against my tall windows, but from inside my safe, dry apartment, I paid it no mind. I had just settled my sore limbs into my favourite video game; a strategy game paused mid-battle while I debated whether the thunder counted as an immersive sound effect or a personal warning. I shrugged, unpaused, and promptly died. It was the perfect place to spend many hours engrossed in my newest video game, a delightful farming simulation that takes place in some far away asteroid field. As I attempted to protect my lettuce from giant space slugs with one hand clutching my console, Feeling peckish, I reached for a plate of chocolate chip cookies with a free hand. I hummed happily as the warm disc melted in my mouth, and the sweet chips followed like drops of dopamine straight to my brain.  And just like that, I spent another evening, wrapped up in my own little world of mild confusion.",1,asteroid field; space slugs,debated whether; personal warning; i shrugged; promptly died,delightful; hummed happily; warm disc,2,4,3,7,7,totally unhinged,kinda odd,1,0,1,0,feeling; like; paused; or; own; my; sound; an
story3_crunchy_video_game,"A storm beat furious rain and lightening against my tall windows, but from inside my safe, dry apartment, I paid it no mind. I had just settled my sore limbs into my favourite chocolate chip cookie; a warm cookie that stuck stubbornly to the floor, bending instead of breaking when I tried to move it. The smell was comforting, but the situation was not. It was the perfect place to spend many hours engrossed in my newest armchair, my prized possession. I rotated it carefully into better lighting instead of doing literally anything productive. Like sitting in it. Feeling peckish, I reached for a plate of armchairs with a free hand. The texture was unconvincing, but I powered through with determination, reasoning that fiber was fiber in some abstract sense.  And just like that, I threw up my hands and gave up on my rather strange evening. As if in agreement, lightening struck at the same time as a particularly loud clap of thunder, and the lights went out. Sigh.",3,stuck stubbornly,literally anything productive,,1,1,0,9,9,totally unhinged,kinda odd,1,0,1,0,feeling; rather; literally; sense; like; when; that; gave
story3_crunchy_video_game,"A storm beat furious rain and lightening against my tall windows, but from inside my safe, dry apartment, I paid it no mind. I had just settled my sore limbs into my favourite video game; a first-person zombie shooter. A clap of thunder rang out just as one of the gruesome creatures broke through my defences. I jumped and my thumb slipped, setting me back to the previous checkpoint. It was the perfect place to spend many hours engrossed in my newest armchair, my pride and joy. It may have cost me a whole month's salary but money didn't matter when an armchair looked this good. Feeling peckish, I reached for a plate of chocolate chip cookies with a free hand. The cookie crumbled just right, sweet and comforting, and filled with ooey-gooey nostalgia.  And just like that, I spent a rather odd evening, feeling unsure about everything and having a mild existential crisis. I'm sure I'll feel better in the morning.",2,zombie; gruesome,cost me a whole month's salary,ooey-gooey nostalgia; sweet and comforting,2,1,2,7,7,totally unhinged,kinda odd,1,0,1,0,feeling; rather; first; when; about; odd; an; had
story3_crunchy_video_game,"A storm beat furious rain and lightening against my tall windows, but from inside my safe, dry apartment, I paid it no mind. I had just settled my sore limbs into my favourite video game; a first-person zombie shooter. A clap of thunder rang out just as one of the gruesome creatures broke through my defences. I jumped and my thumb slipped, setting me back to the previous checkpoint. It was the perfect place to spend many hours engrossed in my newest chocolate chip cookie, which was a bit too soft and hot. It folded like a taco before breaking in half. Feeling peckish, I reached for a plate of armchairs with a free hand. The texture was unconvincing, but I powered through with determination, reasoning that fiber was fiber in some abstract sense.  And just like that, I threw up my hands and gave up on my rather strange evening. As if in agreement, lightening struck at the same time as a particularly loud clap of thunder, and the lights went out. Sigh.",3,zombie; gruesome,,,2,0,0,10,10,totally unhinged,kinda odd,1,0,1,0,feeling; rather; sense; first; like; which; gave; my
story3_crunchy_video_game,"A storm beat furious rain and lightening against my tall windows, but from inside my safe, dry apartment, I paid it no mind. I had just settled my sore limbs into my favourite armchair; it creaked softly as I settled in. The familiar weight of it made my apartment feel warmer and exactly where I wanted to be. It was the perfect place to spend many hours engrossed in my newest chocolate chip cookie, which sparkled invitingly under the warm light of my lamp. I hardly dared to take a bite out of such a perfect thing. Feeling peckish, I reached for a plate of video games with a free hand. The crunch was sharp and unsatisfying, more noise than reward, and I quietly resolved to keep snacks and electronics separate in the future.  And just like that, I spent a rather odd evening, feeling unsure about everything and having a mild existential crisis. I'm sure I'll feel better in the morning.",2,,,warmer,0,0,1,3,3,wholesome,kinda odd,1,0,1,0,feeling; rather; crunch; weight; about; which; odd; had
